"user_id","course_id","chapter_id","lesson_id"
"1227","3","8","3"
"1227","4","3","1"
"1228","1","2","2"
"1230","1","6","5"
"1230","3","4","3"
"1230","4","3","6"
"1230","5","4","3"
"1230","9","2","1"
"1230","10","4","1"
"1230","11","4","5"
"1230","12","6","1"
"1230","13","3","4"
"1230","14","1","1"
"1230","15","1","1"
"1230","16","1","2"
"1231","1","4","3"
"1231","3","7","4"
"1231","4","3","7"
"1231","12","2","5"
"1233","1","1","1"
"1236","1","3","1"
"1239","1","1","2"
"1239","3","1","7"
"1240","1","5","5"
"1240","3","9","1"
"1240","4","1","1"
"1241","1","4","3"
"1241","3","2","10"
"1243","1","6","6"
"1243","3","3","7"
"1243","4","3","6"
"1243","5","1","1"
"1244","1","1","2"
"1244","3","1","3"
"1244","4","2","8"
"1244","5","4","2"
"1244","12","1","1"
"1246","1","1","1"
"1247","1","6","7"
"1247","4","4","1"
"1247","5","1","8"
"1247","9","2","5"
"1247","10","1","1"
"1247","12","2","4"
"1249","1","1","1"
"1250","1","6","7"
"1250","3","2","9"
"1251","1","1","1"
"1252","1","6","4"
"1252","3","9","1"
"1252","4","3","1"
"1252","5","4","6"
"1252","7","2","2"
"1252","9","2","1"
"1253","1","6","5"
"1253","3","9","1"
"1253","4","3","5"
"1253","5","1","1"
"1253","9","2","5"
"1253","10","4","3"
"1253","11","5","3"
"1253","12","7","4"
"1253","15","1","1"
"1257","1","4","1"
"1257","3","3","7"
"1257","4","3","7"
"1257","5","1","4"
"1257","7","2","4"
"1257","9","2","5"
"1257","10","4","3"
"1257","11","5","3"
"1257","12","7","7"
"1257","13","2","2"
"1257","14","1","4"
"1257","15","1","1"
"1257","16","1","5"
"1258","1","6","4"
"1259","1","6","7"
"1259","3","3","3"
"1260","1","6","7"
"1260","3","3","3"
"1261","11","1","1"
"1262","1","6","7"
"1262","3","8","7"
"1262","4","2","1"
"1262","5","2","4"
"1262","7","1","1"
"1266","1","2","2"
"1267","1","3","1"
"1267","3","1","1"
"1267","4","4","1"
"1267","5","3","4"
"1267","9","1","1"
"1267","10","4","3"
"1267","11","1","2"
"1267","12","1","1"
"1267","13","3","1"
"1267","14","2","2"
"1269","1","6","7"
"1269","3","8","1"
"1269","4","2","1"
"1272","1","4","4"
"1272","3","9","1"
"1272","4","4","1"
"1272","5","4","7"
"1272","7","2","5"
"1272","9","2","5"
"1272","12","7","4"
"1273","1","6","4"
"1273","3","8","3"
"1273","4","4","1"
"1274","1","4","3"
"1274","3","3","1"
"1275","1","1","1"
"1278","1","6","7"
"1278","3","8","6"
"1278","4","3","6"
"1278","5","3","1"
"1278","7","2","5"
"1278","9","2","1"
"1278","10","1","1"
"1278","11","1","2"
"1278","12","7","5"
"1279","1","6","6"
"1279","3","9","1"
"1279","4","4","1"
"1279","5","4","7"
"1279","7","1","1"
"1279","16","1","1"
"1280","1","6","6"
"1280","3","7","9"
"1280","4","4","1"
"1280","5","4","6"
"1280","7","1","1"
"1280","9","2","5"
"1280","10","4","3"
"1280","11","5","3"
"1280","12","7","7"
"1282","1","3","3"
"1286","1","1","1"
"1289","1","1","2"
"1289","3","9","1"
"1289","4","4","1"
"1289","5","4","6"
"1289","7","2","4"
"1289","9","2","5"
"1289","10","4","3"
"1289","11","5","3"
"1289","12","7","7"
"1289","13","2","1"
"1289","15","1","1"
"1289","16","1","1"
"1291","1","6","7"
"1291","3","8","4"
"1291","4","2","5"
"1291","5","4","4"
"1291","7","1","4"
"1291","9","1","6"
"1291","10","3","4"
"1291","11","5","1"
"1291","12","4","2"
"1291","13","1","1"
"1292","1","2","1"
"1294","1","2","2"
"1294","3","4","8"
"1297","1","4","4"
"1298","1","5","4"
"1298","3","2","7"
"1299","1","1","1"
"1301","1","6","7"
"1301","3","3","1"
"1301","4","1","1"
"1302","1","6","6"
"1302","3","3","3"
"1303","1","5","5"
"1304","1","6","1"
"1304","3","8","5"
"1304","4","3","6"
"1304","5","4","7"
"1304","7","2","4"
"1304","9","2","3"
"1304","10","4","3"
"1304","11","4","4"
"1304","12","7","4"
"1304","13","2","3"
"1304","14","1","1"
"1304","15","1","1"
"1305","1","5","2"
"1305","3","5","5"
"1305","4","3","7"
"1305","5","4","7"
"1305","7","2","5"
"1305","9","2","5"
"1305","10","4","3"
"1305","11","3","4"
"1305","12","7","1"
"1305","13","2","2"
"1305","14","1","1"
"1305","15","1","1"
"1305","16","1","1"
"1307","1","5","6"
"1307","3","8","7"
"1307","4","3","5"
"1307","5","1","1"
"1309","1","6","7"
"1309","3","3","8"
"1309","4","2","1"
"1309","5","1","1"
"1309","7","1","2"
"1309","9","1","6"
"1309","10","3","4"
"1309","11","1","2"
"1309","12","6","1"
"1309","13","2","1"
"1309","15","1","1"
"1309","16","1","1"
"1310","1","1","1"
"1310","3","5","5"
"1310","4","3","4"
"1310","5","2","1"
"1312","1","6","7"
"1312","3","9","1"
"1312","4","4","1"
"1312","5","1","6"
"1313","1","3","3"
"1313","4","1","1"
"1314","1","6","7"
"1314","3","9","1"
"1314","4","3","7"
"1314","5","4","7"
"1314","7","1","1"
"1318","1","3","1"
"1318","3","1","7"
"1319","1","6","5"
"1319","3","7","1"
"1319","4","2","8"
"1319","5","1","2"
"1319","7","2","5"
"1319","9","1","6"
"1319","12","2","5"
"1322","1","4","2"
"1322","3","8","1"
"1326","1","5","2"
"1330","1","5","4"
"1330","3","9","1"
"1330","4","3","6"
"1330","5","1","1"
"1330","9","1","1"
"1330","14","1","1"
"1334","1","2","3"
"1334","3","1","1"
"1337","1","6","7"
"1337","3","1","3"
"1337","4","3","4"
"1337","5","4","1"
"1337","7","1","1"
"1337","9","1","1"
"1337","10","4","3"
"1337","11","5","3"
"1337","12","2","4"
"1337","13","1","1"
"1337","14","1","1"
"1339","1","3","1"
"1340","1","6","6"
"1342","1","2","3"
"1342","3","8","6"
"1342","4","3","6"
"1342","5","4","6"
"1346","1","5","1"
"1346","3","5","5"
"1346","4","2","1"
"1346","5","3","5"
"1346","9","2","3"
"1347","1","6","7"
"1347","3","6","1"
"1347","4","2","6"
"1347","5","2","9"
"1347","7","1","1"
"1347","16","1","1"
"1348","1","3","3"
"1348","3","7","2"
"1348","4","3","2"
"1348","5","4","1"
"1348","7","2","4"
"1348","9","2","1"
"1349","1","2","1"
"1350","1","5","5"
"1350","3","7","1"
"1350","4","4","1"
"1350","5","4","7"
"1350","7","2","2"
"1350","9","2","5"
"1350","10","1","1"
"1350","11","1","1"
"1350","12","7","7"
"1350","13","1","2"
